IP,Ping,Nome do host,Portas
192.168.2.205,[n/d],[n/e],[n/e]
192.168.2.206,[n/d],[n/e],[n/e]
192.168.2.207,[n/d],[n/e],[n/e]
192.168.2.208,[n/d],[n/e],[n/e]
192.168.2.209,[n/d],[n/e],[n/e]
192.168.2.210,[n/d],[n/e],[n/e]
192.168.2.211,[n/d],[n/e],[n/e]
192.168.2.212,[n/d],[n/e],[n/e]
192.168.2.213,[n/d],[n/e],[n/e]
192.168.2.214,[n/d],[n/e],[n/e]
192.168.2.215,[n/d],[n/e],[n/e]
192.168.2.216,[n/d],[n/e],[n/e]
192.168.2.217,[n/d],[n/e],[n/e]
192.168.2.218,[n/d],[n/e],[n/e]
192.168.2.219,[n/d],[n/e],[n/e]
192.168.2.220,[n/d],[n/e],[n/e]
192.168.2.221,[n/d],[n/e],[n/e]
192.168.2.222,[n/d],[n/e],[n/e]
192.168.2.223,[n/d],[n/e],[n/e]
192.168.2.224,[n/d],[n/e],[n/e]
192.168.2.225,[n/d],[n/e],[n/e]
192.168.2.226,[n/d],[n/e],[n/e]
192.168.2.227,[n/d],[n/e],[n/e]
192.168.2.228,[n/d],[n/e],[n/e]
192.168.2.229,[n/d],[n/e],[n/e]
192.168.2.230,[n/d],[n/e],[n/e]
192.168.2.231,[n/d],[n/e],[n/e]
192.168.2.232,[n/d],[n/e],[n/e]
192.168.2.233,4 ms,[n/d],[n/d]
192.168.2.234,[n/d],[n/e],[n/e]
192.168.2.235,[n/d],[n/e],[n/e]
192.168.2.236,[n/d],[n/e],[n/e]
192.168.2.237,[n/d],[n/e],[n/e]
192.168.2.238,[n/d],[n/e],[n/e]
192.168.2.239,[n/d],[n/e],[n/e]
192.168.2.240,[n/d],[n/e],[n/e]
192.168.2.241,[n/d],[n/e],[n/e]
192.168.2.242,[n/d],[n/e],[n/e]
192.168.2.243,[n/d],[n/e],[n/e]
192.168.2.244,[n/d],[n/e],[n/e]
192.168.2.245,[n/d],[n/e],[n/e]
192.168.2.246,[n/d],[n/e],[n/e]
192.168.2.247,[n/d],[n/e],[n/e]
192.168.2.248,[n/d],[n/e],[n/e]
192.168.2.249,[n/d],[n/e],[n/e]
192.168.2.250,[n/d],[n/e],[n/e]
192.168.2.251,[n/d],[n/e],[n/e]
192.168.2.252,[n/d],[n/e],[n/e]
192.168.2.253,[n/d],[n/e],[n/e]
192.168.2.254,[n/d],[n/e],[n/e]
